Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1877,0.194,0.864354064842224,0.404072,0.33546,0.983743506218266,-0.664921441376043,1.05835406484222,1.72327550621827
1878,0.196,0.873183615707397,0.413824,0.34427,0.439798389764499,-0.128708774057101,1.0691836157074,1.1978923897645
1879,0.21,0.878823618247986,0.437144,0.35277,-0.122798699228142,0.421708317476128,1.08882361824799,0.667115300771858
1880,0.236,0.87644247146225,0.467672,0.36152,0.522704153647818,-0.239453682185568,1.11244247146225,1.35189615364782
1881,0.243,0.890416215831757,0.5035,0.370275,-0.133626731014398,0.393267946846155,1.13341621583176,0.740148268985602
1882,0.256,0.899824443092346,0.544628,0.37901,-0.0761797756443238,0.30836621873667,1.15582444309235,0.847458224355676
1883,0.272,0.911033127586365,0.591268,0.38723,0.821157951690957,-0.616622824104593,1.18303312758636,1.79965595169096
1884,0.275,0.920035732963562,0.646176,0.395745,1.05860834321989,-0.905493610256323,1.19503573296356,2.10052934321989
1885,0.277,0.928163112716675,0.718468,0.404035,0.259371200489118,-0.176711087772443,1.20516311271667,1.38187420048912
1886,0.281,0.931951975788116,0.782068,0.40716,0.691444029825727,-0.667720054037611,1.21295197578812,1.88067202982573
1887,0.295,0.935921528770447,0.820652,0.415325,0.858340803632147,-0.8633962748617,1.23092152877045,2.09431780363215
1888,0.327,0.940335587173462,0.838036,0.418595,0.923125857478056,-0.912421270304594,1.26733558717346,2.17975685747806
1889,0.327,0.946137499897003,0.851392,0.426245,0.665592493384888,-0.670091993487885,1.273137499897,1.94322949338489
1890,0.356,0.97878814415741,0.862204,0.433865,0.721352064929366,-0.682632920771957,1.33478814415741,2.01742106492937
1891,0.372,1.00541104668808,0.860084,0.43643,0.178619324140559,-0.0977222774524787,1.37741104668808,1.47513332414056
1892,0.374,1.02091825852203,0.842912,0.44394,0.337842235603047,-0.229775977081013,1.39491825852203,1.62469423560305
1893,0.37,1.0319135717926,0.811324,0.45139,0.623080776182399,-0.483881204389796,1.4019135717926,1.8857947761824
1894,0.383,1.04384284354019,0.772104,0.45927,0.477704415218679,-0.282235571678487,1.42684284354019,1.70907841521868
1895,0.406,1.0544331481514,0.726312,0.46162,0.640673563927714,-0.368172415776316,1.4604331481514,1.82860556392771
1896,0.419,1.06272563920593,0.663984,0.46931,1.10155713942059,-0.753125500214661,1.48172563920593,2.23485113942059
1897,0.44,1.07301399510574,0.589572,0.47716,1.13149368601107,-0.68521169090533,1.51301399510574,2.19822568601107
1898,0.465,1.07766419363403,0.53106,0.479805,0.678002335999023,-0.14620314236499,1.54266419363403,1.68886733599902
1899,0.507,1.08122550068283,0.495656,0.487715,0.220529219463982,0.384325281218849,1.58822550068283,1.20390021946398
1900,0.534,1.11905388293457,0.481664,0.491055,0.769375401878132,-0.0890405189435616,1.65305388293457,1.74209440187813
1901,0.552,1.14851845018387,0.483148,0.499255,0.196943884264892,0.521171565918977,1.70051845018387,1.17934688426489
1902,0.566,1.16653600069046,0.497988,0.502425,-0.248949147682881,0.98107214837334,1.73253600069046,0.751463852317119
1903,0.617,1.18306380073929,0.524912,0.51101,1.21700325535836,-0.452861454619076,1.80006380073929,2.25292525535836
1904,0.624,1.19706543514633,0.563496,0.519745,1.51571090174967,-0.777886466603341,1.82106543514633,2.59895190174967
1905,0.663,1.2079041955452,0.608228,0.52319,0.296387381948142,0.443098813597055,1.8709041955452,1.42780538194814
1906,0.707,1.2152758543663,0.641088,0.531915,1.04332216863889,-0.294049314272588,1.9222758543663,2.21632516863889
1907,0.784,1.22598103491592,0.668012,0.540975,1.19874606878803,-0.397752033872107,2.00998103491592,2.40773306878803
1908,0.75,1.2281478778038,0.687728,0.549505,1.04250932311948,-0.301594445315674,1.9781478778038,2.27974232311948
1909,0.785,1.23817166680908,0.699388,0.55817,0.721275630828531,0.0443380359805513,2.02317166680908,1.97883363082853
1910,0.819,1.21464354858398,0.706596,0.56192,1.0454886662141,-0.280361117630116,2.03364354858398,2.3140046662141
1911,0.836,1.20802117613983,0.72398,0.570295,0.355828708431551,0.393917467708281,2.04402117613983,1.65010370843155
1912,0.879,1.19694515556717,0.754508,0.57396,0.483883144376911,0.263594011190258,2.07594515556717,1.81235114437691
1913,0.943,1.19037574576187,0.787792,0.582225,0.661822911904616,0.101535833857255,2.13337574576187,2.03183991190462
1914,0.85,1.17018244760513,0.813868,0.58512,0.859201304396129,-0.238006856790996,2.02018244760513,2.25818930439613
1915,0.838,1.15981620049286,0.834432,0.593875,0.600931068471836,-0.0314218679789768,1.99781620049286,2.02923806847184
1916,0.901,1.15121519750214,0.846092,0.596995,1.0249481104064,-0.415819912904261,2.05221519750214,2.4680351104064
1917,0.955,1.14626039932251,0.84694,0.6049,1.65193157387597,-1.00251117455346,2.10126039932251,3.10377157387597
1918,0.936,1.14512213991165,0.834432,0.612745,0.873845090181225,-0.239899950269573,2.08112213991165,2.32102209018123
